label,keyword,text
0,in-need,"who are in need of an emergency , will be tracked by trans-telephonic ecg monitoring technology , which will transfer the runner 's ecg directly to the doctor 's smartphone . ( representational image )"
0,migrant,"since salvini 's league formed a government with the anti-establishment five star movement ( m5s ) on june 1 , the minister has implemented his party 's hard line on migrants ."
0,women,"among those who coded in ruby , women coders scored an average of 93 points while male coders scored 60 points . python emerged as another favorite scripting language for women coders where they edged past male coders by 17 points ."
0,refugee,"it is not clear what will happen to refugees who are not accepted by the us , or asylum seekers who have no valid protection claim but who can not be forced back to their home countries ."
0,refugee,""""""" no doubt australia is held up as an example by the united states and some european leaders . but australia effectively is violating its human rights obligations as a signatory to un conventions ( to resettle refugees ) , """" he added ."""
0,in-need,"just zilch rescue surplus goods and make them available to those in need , filling a gap in the community . with the help of volunteers , the store operates monday - friday 4:30 - 6:00pm ."
0,homeless,"""we got talking about homelessness , education policy and local politics , and i almost forgot to turn on the recorder until she said , """" i am so over the democratic party . """""""
0,disabled,the former head of a care home for the mentally disabled was yesterday charged with sexually assaulting a girl three decades ago when she was seven .
0,refugee,"to that one might add things like that pakistan sold debris from the crashed us stealth helicopter to china , that pakistan has provided safe houses to refugee al qaeda and taliban leaders ( including bin laden ) , and that pakistan is actively trying to destabilize afghanistan . and let 's not forget that pakistan is the country which supplied nuclear weapons technology to iran , syria , libya and north korea ."
0,refugee,"zambi clarified that the land , which covers 15,000 hectares , was used by refugees from the democratic republic of congo ( drc ) in 1994 ."
0,refugee,"the un refugee agency unhcr has raised concerns over the terms of the arrangement , saying conditions for the safe return of the rohingya were not yet in place ."
0,vulnerable,"""she specified these because """" women have always formed a disproportionate percentage of the vulnerable in our society to empower citizens who contribute meaningfully to their own development and as effective partners in nation building """" ."""
0,refugee,"""according to noorani , in hyderabad , patel turned a blind eye to the massacre of muslims , in kashmir , he defended the rss when nehru complained of its activities ; in post-partition delhi , he insisted that there was widespread anger about muslims being allowed to go about openly in the streets , eventually going on to protest nehru 's view that muslim refugees who evacuated their homes should be allowed to return . even in inviting the hindu mahasabha and rss to join the congress , patel is reported to have said those who """" ride on two horses """" will have to go to pakistan ."""
0,refugee,"of his immediate family , his father , abdullah kurdi , was the only survivor . other relatives , including an aunt and uncle , made it to canada as refugees ."
0,in-need,"""a spokesperson for mtr corp . said there are currently no plans to install nursing and baby changing facilities , but passengers in need can ask staff to make """" appropriate arrangements """" ."""
0,disabled,"this year the shanghai resort plans to recruit 2,000 full-time and part-time employees , with vacancies tailored to the disabled population , said lara tiam , vice-president of human resources at the resort ."
0,immigrant,"in the us seasonal work is often done by undocumented immigrants who are especially vulnerable to maltreatment because of deportation threats . there is plenty of surplus labour which allows contractors and farmers to keep wages very low and conditions poor and unsafe , with excess deductions for transport , housing and food ( majka &amp; majka 2000 ) ."
0,in-need,"team pentagon from cavite state university was awarded as the ultimate winner in the #pldt88 hackathon challenge for its innovative solution called pldt techgo that enables a pldt subscriber in need of technical support to contact the nearest technician around the area . team pentagon received a cash prize of p100,000 ."
0,refugee,"according to world vision , hussam escaped to jordan where he taught himself english using his mobile phone in a refugee camp there . he was separated from his dad , who traveled to germany , and he worked with his mother to be reunited with him . hussam was so determined to get to germany - in the hope that he could return to school some day - that he also taught himself german using the same mobile phone ."
0,in-need,""""""" we hope that the review spearheaded by the department of finance will lead to the resolution of the contentious issues that have clearly prevented companies from applying under the reit law . reits should unlock the potential not just of the real estate sector , but also various infrastructure projects that are in need of significant funding and critical to the country 's economic growth , """" sicat said ."""
0,refugee,scott morrison : i 've criticised the australian government . i 'm criticising the australian government for entering into an arrangement that will send 800 people who are in our care into those conditions in a country that is not a signatory to the refugee convention .
0,vulnerable,"q : what criteria used to get the children ? a : the children are selected through street and other community leaders such as religious , associations and other people . the most vulnerable community ( mvc ) support project , provides educational , health and psychosocial support to 60 most vulnerable children in kigoma urban and rural ."
0,poor-families,"""none of that backstory was known immediately after her death because reverend swale wanted the gift to remain a secret . when builders finished the church of the holy trinity in 1847 , writes eric arthur in no mean city , """" strachan published a notice inviting ' the poor families of the united church of england and ireland to make the church their own ' and another announcing the opening for service of the ' parochial church of the poor of toronto . ' """""""
0,refugee,"besides a museum with some history of chefchaouen , the simple and bare gardens in the rest of the kasbah compound are full of rich , local vegetation . you can get a view of the houses with red-tiled roofs if you climb to the top of the kasbah . this spanish-influenced architecture came from moorish refugees from andalusia in the 15th century , when they were being persecuted by christian spain in the dark ages ."
0,hopeless,"it would be nice and neat if you could blame the newly elected radicals -- yau , leung and yiu -- for this additional , opening-day legco embarrassment but , their oaths having earlier been rejected , they were barred from voting for president . even without them , it seems legco remains a hopelessly fractious and ineffectual body as a new term opens ."
0,immigrant,""""""" dapa and the expanded daca programs are the latest in the long struggle for immigrant rights in this country that should have ended with comprehensive immigration reform legislation in congress , which the senate passed with bipartisan support in 2013 , """" said suman raghunathan , executive director of saalt ."""
0,immigrant,"""custo diaz poses in front of his closed shop , noni fashion , a women 's clothing store at 116th street in the east harlem neighborhood of new york , on thursday feb. 16 , 2017 . he was participating in the boycott called a day without immigrants , aimed squarely at president donald trump 's efforts to crack down on immigration . diaz , a dominican immigrant , said he closed his shop in support of all the immigrants who are """" feeling attacked """" these days . diaz said he has lived for 40 years in the u.s. and he stands in solidarity with his """" undocumented brothers and sisters . """" ( ap photo/claudia torrens )"""
0,poor-families,"the ujjwala yojana , conceived two years ago , has ensured record penetration of cleaner cooking gas among poor families , and is widely believed to have paid electoral dividends to the bjp in assembly polls , triggering demand from the oil ministry to expand its scale ."
0,poor-families,""""""" the last thing we need is a ranking of schools , where you always see schools in which students that are from wealthy families at the top , versus students who are from poor families at the bottom . where is the value in that ? """" he questions ."""
0,vulnerable,the situation has put the professional services firm deloitte in a moral dilemma ( deloitte was part of the original panel ) . by agreeing to the new terms it will be complicit in selling out vulnerable workers it had previously told a senate inquiry it was so passionate about defending . it seems money talks .
0,poor-families,"""but the current politically correct left approach is quite peculiar if we think about history . of course marx made fun of malthus ( marx himself had a large family living in poverty ... ) , but after him some progressist , who called themselves neo malthusian , fought the influence of the church and the conservatives to advocate a decrease in the number of child among poor families . they were severly fought by authorities in a pre world war context : nationalism needed many soldier and the number was the real force . after the two wars , this political current fade out and strangely enough the large family values were adopted by the state , whether run by """" left """" or """" right """" ."""
0,in-need,"dr ian neil , head of orthopedics at the kph who has partnered with scoliosis care since its inception , said that the list of persons in need of surgery grows each year ."
0,disabled,"football has long been a national obsession in haiti , and following the devastating 2010 earthquake , which spurred the creation of a national disabled team , the country is now dreaming of world cup glory ."
0,homeless,"""on his website , problems of perception , swan talks about how he used to work for one of the biggest corporations in the world until he realised he was not helping humanity . poverty in america was what struck him . """" i travelled extensively and though i love america very much , i was shocked and changed by the poverty i saw there , """" he says . """" i started going out onto the streets in the evenings and weekends to try and help the homeless , and this eventually lead me to the places and experiences that have completely transformed my life since . """""""
0,immigrant,"indian immigrants across the world are flocking back into the country like migratory birds post winter . a recent study by kauffman foundation titled america 's new immigrant entrepreneurs shows that while every third tech start up in the us has an indian connection , thanks to the us ' frigid immigration norms , the percentage of immigrant-founded startups has declined from 52.4 percent to 43.9 percent in silicon valley alone ."
0,immigrant,"to date , mustafar said 6,678 illegal immigrants were detained at the depots with the largest in bukit jalil ( 1,500 detainees ) and the lowest in bekenu , sarawak ( 350 detainees ) ."
0,in-need,"""meanwhile , at loo bridge , killarney water rescue crew had to evacuate an elderly couple from their flooded home . """" they were both ill and in need of medical attention , """" said john o'loughlin , of killarney water rescue ."""
0,refugee,""""""" the anc calls on the myanmar government to immediately put a halt to the refugee crisis by allowing the rohingya people who have fled , to return to their places of birth . """""""
0,migrant,thousands of people rallied in melbourne saturday in support of 600 men refusing to leave an australian-run migrant camp in papua new guinea ( png ) that closed this week .
0,in-need,""""""" we can bring about the change britain needs . """""""
0,homeless,"""on oct. 1 , at the working america blog , a community affiliate of the afl-cio , new hampshire writer susan bruce attempted to make sense of the outrage : """" the lack of compassion is troubling but the level of anger is even more disconcerting . i suspect that the anger some people have for the homeless is fueled by their own fears that they are only a paycheck or two away from being homeless themselves . """""""
0,in-need,"we all got to see god of war last week , and previews have been popping up across all of the major sites . i found myself mostly thinking about how god of war has changed over the past decade , and how badly it was in need of a fresh perspective . at a minimum , the reboot should provide that . as an old-school fan of god of war , i 'm willing to put aside my cynicism about its attempts to ape sony 's current triple-a darlings and give it a fair shake ."
0,homeless,"""joe carolan , spokesperson for people before profit , reminds us """" in an election year , the real news story is the mistreatment of the poor , appalling levels of homelessness and record high levels of youth suicide """" ."""
0,in-need,a few road sign poles on this road were in need of cleaning and one rusty gate was observed as it stood out in contrast to the well kept establishments .
0,refugee,""""""" president trump is right . i built a wall along israel 's southern border . it stopped all illegal immigration . great success . great idea , """" netanyahu tweeted saturday , referring to a barrier built to stop refugees and migrants ."""
0,homeless,"after years of helping out the homeless , poor and elderly members of his community , the owner of a sham shui po restaurant has been given a helping hand himself , in the face of a rent hike which threatened to end his business ."
0,disabled,"maybe part of smith 's ' punishment ' should be a directive to work with disabled people , to get a look into their lives and what obstacles they face at places like airports ."
0,refugee,"the report examines the laws , policies and practices pertaining to refugee work rights in 15 countries around the globe , affecting a total of 30 per cent of the world 's refugee population . the findings reveal that almost half of the 15 countries examined have a complete legal bar to refugee employment ."
0,hopeless,even the previous hopeless defending has come good .
0,poor-families,""""""" based on the data gathered from orang asli development department ( jakoa ) , a total of 12,467 hardcore poor families are entitled to receive the aid , """" he told the dewan rakyat on thursday ."""
0,refugee,"snowden has since publicly thanked the refugee families that helped him , and also highlighted the plight of asylum seekers that usually wait for years to have their cases heard ."
0,immigrant,do you think there are too many immigrants in the uk ?
0,homeless,"the government is taking serious action to tackle homelessness and support people in urgent need of housing this winter with a $100 million investment , says housing and urban development minister phil twyford . more&gt;&gt;"
0,poor-families,"hundreds of poor families are believed to be buried under the rail platforms and buildings , many having fallen victim to victorian cholera epidemics ."
0,hopeless,"""it was her second attempt to secure a conviction : the first trial began on june 5 , 2017 , but ended less than two weeks later with the jury """" hopelessly deadlocked """" ."""
0,poor-families,"the ' i eat nasi lemak ' event this year will also be supporting a charity called the nasi lemak project which among other initiatives , helps urban poor families be enterprisingly self-sufficient via selling nasi lemak ."
0,in-need,does cricket brain need a matric degree ? ? ? ?
0,disabled,"due to high house prices here and the status of being a disabled person following an accident in 2009 on his way home from work , alexander , who receives a monthly pension and an allowance from the social security organisation ( socso ) and the social welfare department ( jkm ) , was only able to afford renting a house for rm350 a month ."
0,vulnerable,the stormers appeared vulnerable under the high ball against the argentine side which prompted fleck to make changes .
0,women,"an advocate for feminism , he highlighted the team was made up of predominantly young women who spoke a common language to achieve the goal of tedx maitama ."
0,homeless,"the new year brought housing inequality into sharp focus , especially in the capital . with homelessness rising , the average house price 16 times the average londoner 's salary , five million people on housing waiting lists , and the social housing stock having fallen by 43,850 in 2013-14 , tenants , trade unionists and housing campaigners marched on london city hall on 31 january in protest ."
0,refugee,germany failing to protect refugee shelters
0,homeless,maybe some day it 'll be an irish player taking the knee . to protest in favour of repealing the eighth amendment or against the barbaric system of direct provision or to raise awareness of the parlous situation of the travelling community in the country or of our homeless problem . i wonder how we 'd react if that happened . maybe we 'd still say sport and politics should n't mix . <h> your comments
0,refugee,"in 2016 , a united nations study found australia 's detainees on manus island and nauru had the highest rates of mental illness ever recorded amoung refugee groups ."
0,immigrant,"crs said congress has considered several related pieces of legislationthe immigration innovation act of 2018 ( s.2344 ) , as introduced in the 115th congress , would codify the current regulation providing work authorisation to h-4 spouses of certain h-1b non-immigrants and would require the employer of the h-4 spouse to attest that they will pay her or him the greater of the prevailing wage for that occupation in the area of employment or the actual wage paid to other workers in the same job with similar qualifications ( i.e. , applying the same pay standard to the hiring of h-4 visa holders as is applied to their h-1b spouses ) ."
0,vulnerable,"""while femi was chasing and wooing her , he did not have to overstretch his luck and masculine prowess to win the primed and already vulnerable heart of amarachi . femi did n't only look or talk the part , he also """" acted """" the part ; he sent her gifts , took her to beautiful and exotic places ; their lifestyle seemed so perfect that anytime they went out , ladies all around would go green with envy -- wishing they were in amarachi 's shoes . as the saying goes , """" only the wearer of a shoe knows where it pinches """" , looks can be very deceptive ."""
0,in-need,the patient who is in need of o+ kidney also appeals for public contributions to be remitted to her account no. 0842001-8-0017225 at alutgama people 's bank .
0,women,"even when it 's about the ideas , when if there 's not dancing is about women who have to live with what pop culture puts on them , when power ballad is on our current language 's insufficiencies , croft makes them about the women who have to actually live through these concepts in their everyday lives ."
0,hopeless,"the massive show of support across the country was a testament of the belief and confidence ghanaians have in the party 's ability to rescue the country from the current state of hopelessness it has been plunged into as a result of eight years of incompetence and corruption by the ndc government , led by president john dramani mahama ."
0,refugee,"cameroon has deported 100,000 nigerian refugees in the hope of stemming the spread of terrorist group boko haram , human rights watch ( hwr ) said on wednesday ."
0,refugee,"""security guards at berlin shelters are encouraging refugees to go into prostitution , german public television has reported , sparking outrage with berlin saying on wednesday it was taking the allegations """" very seriously """" ."""
0,migrant,"1 . guards at a u.s. detention center for immigrants in california had brutally used pepper spray , beatings and scalding hot showers last year to punish eight central american men who went on a hunger strike , two of the men and their attorneys said on tuesday ( july 24 ) ."
0,women,"along with munni , there are 31 other transgender men and women working in logos . when this correspondent talked to them , most of them had similar stories as that of munni ."
0,vulnerable,"prof faisal noted that children were vulnerable as they may not understand the dangers of the road , and their small physique makes them less visible to motorists ."
0,disabled,"researchers were puzzled , however , by rare cases of children with abnormalities in chromosome 21 who were intellectually disabled , but did not display the typical clinical features normally present in down syndrome ."
0,in-need,"""last night one news reported on leaked ministry of education documents that said novopay was in need of a fundamental redesign , otherwise """" it is time to ditch it and move to a system that will work """" ."""
0,hopeless,""""""" i felt totally hopeless . then , as i hit the bend , i heard my teammates calling my name and i remembered all of the gruelling training that had led up to this race . this was my last chance to make it , and i had to give it my all . """""""
0,migrant,"high-skilled migrants bring diverse talent and expertise , while low-skilled migrants fill essential occupations for which natives are in short supply and allow natives to be employed at higher-skilled jobs . moreover , the gains are broadly shared by the population . it may therefore be well-worth shouldering the short-term costs to help integrate these new workers ."
0,poor-families,"targeting the younger generation , the dmk manifesto released on sunday promised waiver of education loans , tablets or laptops bundled with 3g/4g internet connection and 10gb per month download option for 16 lakh students and smart phones for poor families ."
0,migrant,iom yemen implemented two other projects for capacity building and humanitarian activities targeting migrants and conflict-affected yemenis with another usd 2 million of japanese funding in 2015 .
0,poor-families,during the implementation camfed will work together with community members and leaders from this district to support girls and boys from poor families to attend government secondary schools .
0,refugee,"amid monsoon rains , small-scale festivities were under way in refugee camps in cox 's bazar , where many have taken cover in schools that have closed for eid ."
0,hopeless,"the country has been torn apart by war for decades and peace is not in sight when the americans , british and other foreign troops leave . for minorities like the sikhs and hindus , the situation is quite hopeless . as a sikh lady points out in the documentary , they can not just depend on short term handouts by generous sikhs from abroad ."
0,women,"rabaya said other organizations that supported the training for women and housewives are the barangay women 's organization , the **25;97;toolong organization , the senior citizens , barangay parent leaders , single parent organization and the handmaids of the lord ."
0,immigrant,"a new mandatory basic english language requirement for all new permanent resident immigrants will be considered by the australian government amid concerns that by 2021 more than one million people in australia could have little or no english skills , reports sbs news ."
0,migrant,"the us health care industry suffered a great deal when trump 's first anti-immigrant executive order blocked many foreign doctors , researchers , and other health workers . it turns out that nearly 30 percent of doctors in the us are immigrants . so are 23 percent of nurses and home health aides ."
0,refugee,"""the singer -- who championed suu kyi in the 2000 u2 song """" walk on , """" with fans encouraged to wear masks of the then opposition leader when the band played it live -- said he felt """" nauseated """" by images of the bloodshed and refugee crisis ."""
